,Platform,Brand,Category,Product Name ,Price,Reviewer,Review,Review_clean,Product Purchase,Ratings,Date Of Review,Response
1302,Shopee,Garnier,Mask,[Bundle of 15] Garnier Hydra Bomb Serum Sheet Mask + 50ml Micellar Water,30.0,jsoh0506,fast delivery good service ,fast delivery good service,Variation: BLACK RICE,4.0,2019-08-29 08:06:00,no
1303,Shopee,Garnier,Mask,[Bundle of 15] Garnier Hydra Bomb Serum Sheet Mask + 50ml Micellar Water,30.0,ivanny85,love the products. items arrived as described.,love the products items arrived as described,Variation: POMEGRANATE,5.0,2019-08-15 22:02:00,no
1304,Shopee,Garnier,Mask,[Bundle of 15] Garnier Hydra Bomb Serum Sheet Mask + 50ml Micellar Water,30.0,syazanatai,orders received in 1 week. ,orders received in 1 week,Variation: BLACK RICE,5.0,2019-08-15 19:05:00,no
1305,Shopee,Garnier,Mask,[Bundle of 15] Garnier Hydra Bomb Serum Sheet Mask + 50ml Micellar Water,30.0,jsoh0506,ordered on 8 march received on 14 march by urbanfox delivery. prices are much cheaper than sold over retail counters. i love the serum masks esp the charcoal masks. masks quality is good for the price paid. will buy more again when there is sales promo.,ordered on 8 march received on 14 march by urbanfox delivery prices are much cheaper than sold over retail counters i love the serum masks esp the charcoal masks masks quality is good for the price paid will buy more again when there is sales promo,Variation: LAVENDER (SOOTHING),4.0,2019-03-14 21:48:00,no
1306,Shopee,Garnier,Mask,[Bundle of 15] Garnier Hydra Bomb Serum Sheet Mask + 50ml Micellar Water,30.0,kepheus,super good deal and super high quality. am loving this. please have more deals like this thank you :-))),super good deal and super high quality am loving this please have more deals like this thank you,Variation: SAKURA WHITE,5.0,2019-07-26 15:16:00,no
1307,Shopee,Garnier,Mask,[Bundle of 15] Garnier Hydra Bomb Serum Sheet Mask + 50ml Micellar Water,30.0,xiaozhennn,order was sent out fast and i received it pretty soon too. everything looks great! :>,order was sent out fast and i received it pretty soon too everything looks great,Variation: GREEN TEA,5.0,2019-07-17 20:01:00,no
1308,Shopee,Garnier,Mask,[Bundle of 15] Garnier Hydra Bomb Serum Sheet Mask + 50ml Micellar Water,30.0,jsoh0506,rcv in order. bought during sales promo at a much cheaper price. good masks.,rev in order bought during sales promo at a much cheaper price good masks,Variation: LAVENDER,4.0,2019-07-17 22:00:00,no
1309,Shopee,Garnier,Mask,[Bundle of 15] Garnier Hydra Bomb Serum Sheet Mask + 50ml Micellar Water,30.0,maggieepeh,love these mask,love these mask,Variation: BLACK ALGAE,5.0,2019-07-27 07:42:00,no
1310,Shopee,Garnier,Mask,[Bundle of 15] Garnier Hydra Bomb Serum Sheet Mask + 50ml Micellar Water,30.0,why_apple,masks were well recieved with a free sample of cleansing water included. average delivery,masks were well received with a free sample of cleansing water included average delivery,Variation: MIX,4.0,2019-07-24 17:20:00,no
1311,Shopee,Garnier,Mask,[Bundle of 15] Garnier Hydra Bomb Serum Sheet Mask + 50ml Micellar Water,30.0,teddymatryoshka,"i love these masks. not expensive, effective 😍",i love these masks not expensive effective,Variation: POMEGRANATE,5.0,2019-08-06 09:45:00,no
1312,Shopee,Garnier,Mask,[Bundle of 15] Garnier Hydra Bomb Serum Sheet Mask + 50ml Micellar Water,30.0,sabrinacai,well received in perfect condition.,well received in perfect condition,Variation: LAVENDER (SOOTHING),5.0,2019-06-18 22:19:00,no
1313,Shopee,Garnier,Makeup Remover,Garnier Micellar Water Pink 400ml For Sensitive Skin,14.3,joleneloo,bought 3 during flash deal for free shipping. expiry in 2022.,bought 3 during flash deal for free shipping expiry in 2022,,5.0,2020-02-06 00:31:00,no
1314,Shopee,Garnier,Makeup Remover,Garnier Micellar Water Pink 400ml For Sensitive Skin,14.3,tinggerbelle,came in good condition! ,came in good condition,,5.0,2020-02-12 23:48:00,no
1315,Shopee,Garnier,Makeup Remover,Garnier Micellar Water Pink 400ml For Sensitive Skin,14.3,genia.amabell,definitely a good seller whereby ordered on 30 jan super late night and received today 31 jan before 5pm. great job seller ,definitely a good seller whereby ordered on 30 jan super late night and received today 31 jan before pm great job seller,,5.0,2020-01-31 19:10:00,no
1316,Shopee,Garnier,Makeup Remover,Garnier Micellar Water Pink 400ml For Sensitive Skin,14.3,chenanqi_,parcel came in less than a week! seller was also thoughtful in packaging it so that it does not get damaged. ,parcel came in less than a week seller was also thoughtful in packaging it so that it does not get damaged,,5.0,2020-02-06 21:03:00,no
1317,Shopee,Garnier,Makeup Remover,Garnier Micellar Water Pink 400ml For Sensitive Skin,14.3,ktcw9095,"delivery is quite fast and product is great too, good quality",delivery is quite fast and product is great too good quality,,5.0,2020-02-05 15:01:00,no
1318,Shopee,Garnier,Makeup Remover,Garnier Micellar Water Pink 400ml For Sensitive Skin,14.3,rina_mohd,"received with thanks ! bought during flash deal,totally worth it 👍",received with thanks bought during flash deal totally worth it,,5.0,2020-01-29 22:01:00,no
1319,Shopee,Garnier,Makeup Remover,Garnier Micellar Water Pink 400ml For Sensitive Skin,14.3,missputrizn,product is as described. good price. thanks,product is as described good price thanks,,5.0,2020-02-03 17:46:00,no
1320,Shopee,Garnier,Makeup Remover,Garnier Micellar Water Pink 400ml For Sensitive Skin,14.3,celinefelicity,order received well packaged and very quickly! will repeat purchase.,order received well packaged and very quickly will repeat purchase,,5.0,2020-01-22 12:02:00,no
1321,Shopee,Garnier,Makeup Remover,Garnier Micellar Water Pink 400ml For Sensitive Skin,14.3,mick_not_home,got this during a flash sale.. comes wif 2 free travel-sized.. good deal..,got this during a flash sale comes if 2 free travel sized good deal,,5.0,2019-12-27 19:26:00,no
1322,Shopee,Garnier,Makeup Remover,Garnier Micellar Water Pink 400ml For Sensitive Skin,14.3,jastang77,received in good condition... sorry for the late reply.... ,received in good condition sorry for the late reply,,5.0,2019-12-23 23:20:00,no
1323,Shopee,Garnier,Makeup Remover,Garnier Micellar Water Pink 400ml For Sensitive Skin,14.3,littleredarmy,came in bubble wrapped envelope. fast delivery. thank you seller! ,came in bubble wrapped envelope fast delivery thank you seller,,5.0,2019-12-21 20:53:00,no
1324,Shopee,Garnier,Makeup Remover,Garnier Micellar Water Pink 400ml For Sensitive Skin,14.3,aty178,bought during 12/12 sales and using my shopee coins and it’s so cheap! it’s only $17.48 with cash back coins too. thanks for the good deal. ,bought during 12 12 sales and using my hope coins and it s so cheap it s only 17 48 with cash back coins too thanks for the good deal,,5.0,2019-12-16 11:28:00,no
1325,Shopee,Garnier,Makeup Remover,Garnier Micellar Water Pink 400ml For Sensitive Skin,14.3,sammiimin,"fast delivery, tried it out and clean off my make up really well, didnt irritate my skin or dry my skin out",fast delivery tried it out and clean off my make up really well dint irritate my skin or dry my skin out,,5.0,2019-12-12 12:10:00,no
1326,Shopee,Garnier,Makeup Remover,Garnier Micellar Water Pink 400ml For Sensitive Skin,14.3,elaine.estelle,received items promptly and in packaging.  very affordable and can't wait to use it!,received items promptly and in packaging very affordable and can not wait to use it,,5.0,2019-12-13 22:31:00,no
1327,Shopee,Garnier,Makeup Remover,Garnier Micellar Water Pink 400ml For Sensitive Skin,14.3,sherlynlimlixuan,have tried and quite effective in removing dirt and make up. v worth for money when bought during sales with 2 mini travel bottles! ,have tried and quite effective in removing dirt and make up v worth for money when bought during sales with 2 mini travel bottles,,5.0,2019-12-08 22:28:00,no
1328,Shopee,Garnier,Makeup Remover,Garnier Micellar Water Pink 400ml For Sensitive Skin,14.3,iamzengying,great purchase. bought it during flash deal and delivery was fast! ,great purchase bought it during flash deal and delivery was fast,,5.0,2019-12-11 20:02:00,no
1329,Shopee,Garnier,Makeup Remover,Garnier Micellar Water Pink 400ml For Sensitive Skin,14.3,caiguorong90,got it during flash sale. paid $4 for delivery though. overall still cheaper than pharmacies.,got it during flash sale paid 4 for delivery though overall still cheaper than pharmacies,,5.0,2019-12-14 17:58:00,no
1330,Shopee,Garnier,Makeup Remover,Garnier Micellar Water Pink 400ml For Sensitive Skin,14.3,strzvh,items came promptly and packed securely despite being heavy,items came promptly and packed securely despite being heavy,,5.0,2019-12-16 01:14:00,no
1331,Shopee,Garnier,Makeup Remover,Garnier Micellar Water Pink 400ml For Sensitive Skin,14.3,fitlah,well received with thanks!! this batch has expiry compared to last time one which doesn’t have,well received with thanks this batch has expiry compared to last time one which does t have,,5.0,2019-12-02 22:04:00,no
1332,Shopee,Garnier,Makeup Remover,Garnier Micellar Water Pink 400ml For Sensitive Skin,14.3,sandywse,bought it at a good price on flash sale! fast delivery and responsive seller too.,bought it at a good price on flash sale fast delivery and responsive seller too,,5.0,2019-12-05 20:37:00,no
1333,Shopee,Garnier,Makeup Remover,Garnier Micellar Water Pink 400ml For Sensitive Skin,14.3,moonlightzzz,"good deal, come nicely packed with no breakages! got it at flash deals!",good deal come nicely packed with no breakages got it at flash deals,,5.0,2019-11-27 00:02:00,no
1334,Shopee,Garnier,Makeup Remover,Garnier Micellar Water Pink 400ml For Sensitive Skin,14.3,reginetang,"bought during sale, cheap!",bought during sale cheap,,5.0,2019-11-30 16:49:00,no
1335,Shopee,Garnier,Makeup Remover,Garnier Micellar Water Pink 400ml For Sensitive Skin,14.3,sherynyew,"cap lid cracked, can’t open, had to forcefully open the entire cap. did not come with free 50ml bottles as stated. ",cap lid cracked can t open had to forcefully open the entire cap did not come with free ml bottles as stated,,1.0,2019-11-25 13:34:00,no
1336,Shopee,Garnier,Makeup Remover,Garnier Micellar Water Pink 400ml For Sensitive Skin,14.3,sakuraikeiko,items well wrapped in envelope that has bubble wrap! hope to have such great deal again! ,items well wrapped in envelope that has bubble wrap hope to have such great deal again,,5.0,2019-11-24 23:01:00,no
1337,Shopee,Garnier,Makeup Remover,Garnier Micellar Water Pink 400ml For Sensitive Skin,14.3,pusheensalex,item well received! come in a box. super worth it! thank you ,item well received come in a box super worth it thank you,,5.0,2019-11-27 09:50:00,no
